HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28
27PQ67051QKCROCZ4F314MGI71IZFE,"Determine if a statement is true or false. BONUS for correct answers!"," ",2IKV7WGKCCVLP0N7ESDHHPQ4LJ8T36,A2WNW8A4MOR7T7,Approved,"Tue Jun 12 23:49:57 PDT 2012","Tue Jun 12 23:52:23 PDT 2012",false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,
27PQ67051QKCROCZ4F314MGI71IZFE,"Determine if a statement is true or false. BONUS for correct answers!"," ",2Z46SK9RJ85O3FABSB1AWMOOZF05T9,APMEOBFFLFRLX,Approved,"Tue Jun 12 23:53:41 PDT 2012","Tue Jun 12 23:55:01 PDT 2012",false,false,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true,true,false,false,false,false,false,true,true,true,true,true,
27PQ67051QKCROCZ4F314MGI71IZFE,"Determine if a statement is true or false. BONUS for correct answers!"," ",28TTHV8ER9Y8XKVFXOJMCKFH1CEQ3U,AF739AKXKHYJQ,Approved,"Wed Jun 13 03:22:19 PDT 2012","Wed Jun 13 03:23:16 PDT 2012",true,false,true,false,true,false,true,true,true,true,false,true,true,false,true,false,true,false,true,true,true,false,false,false,false,false,false,false,
27PQ67051QKCROCZ4F314MGI71IZFE,"Determine if a statement is true or false. BONUS for correct answers!"," ",2418JHSTLB3L4CMGK7FBQEJRN5AGSN,A2ZRQR5BI9ZLBE,Approved,"Wed Jun 13 07:35:22 PDT 2012","Wed Jun 13 07:38:41 PDT 2012",false,false,true,false,false,true,true,false,true,true,false,true,false,false,true,false,true,true,false,true,true,false,false,false,true,true,false,false,
27PQ67051QKCROCZ4F314MGI71IZFE,"Determine if a statement is true or false. BONUS for correct answers!"," ",2ABG5TYMNCWYF1KCKHJSOX11SZNNJS,A3UWUXJ22GCVJA,Approved,"Wed Jun 13 08:50:45 PDT 2012","Wed Jun 13 08:54:31 PDT 2012",false,true,true,false,true,true,true,false,true,false,false,true,false,true,true,true,true,true,true,true,false,false,false,false,true,false,true,true,
27PQ67051QKCROCZ4F314MGI71IZFE,"Determine if a statement is true or false. BONUS for correct answers!"," ",2Y1Z6KW4ZMAZLE2OW4H0VNNV0S2G77,A30VGDRAJK8NIT,Approved,"Wed Jun 13 09:12:29 PDT 2012","Wed Jun 13 09:17:09 PDT 2012",true,false,true,false,true,true,false,false,true,false,true,false,false,false,true,false,false,true,false,true,true,false,false,false,true,true,false,false,
27PQ67051QKCROCZ4F314MGI71IZFE,"Determine if a statement is true or false. BONUS for correct answers!"," ",2T6NLVWJ5OPB4V6DAXPM3B7EYKFU2P,A3W5CPVTONIGVI,Approved,"Wed Jun 13 12:53:35 PDT 2012","Wed Jun 13 12:55:58 PDT 2012",false,false,true,false,false,true,false,false,true,false,true,true,false,false,true,false,false,true,false,true,true,false,false,false,true,true,false,false,
27PQ67051QKCROCZ4F314MGI71IZFE,"Determine if a statement is true or false. BONUS for correct answers!"," ",23DB3L0FBJ9IS8UBUG5VL5RP0DFYMQ,A2DDUE0PJKRONC,Approved,"Wed Jun 13 14:19:57 PDT 2012","Wed Jun 13 14:21:23 PDT 2012",false,true,true,false,false,false,true,false,true,false,true,true,false,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,
27PQ67051QKCROCZ4F314MGI71IZFE,"Determine if a statement is true or false. BONUS for correct answers!"," ",2SFMHGYQ4J3NE8H8QB6FVYYI2CPANV,AL6JCGFMIXINH,Approved,"Wed Jun 13 14:25:13 PDT 2012","Wed Jun 13 14:29:08 PDT 2012",false,false,false,false,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,false,false,true,false,true,true,false,true,
27PQ67051QKCROCZ4F314MGI71IZFE,"Determine if a statement is true or false. BONUS for correct answers!"," ",28ZQEOZFYQS1GP4JZ4ORKS4ILDLHKL,AYC8L9IBO6BQ0,Approved,"Wed Jun 13 18:29:50 PDT 2012","Wed Jun 13 18:31:31 PDT 2012",false,false,true,false,true,true,false,true,true,false,false,false,false,true,true,false,false,true,false,true,true,true,false,true,true,true,false,false,
27PQ67051QKCROCZ4F314MGI71IZFE,"Determine if a statement is true or false. BONUS for correct answers!"," ",2WR9O9Z6KW4ZQ7AESGILMQ0OWZKD40,AHLADH7JTJRO8,Approved,"Thu Jun 14 01:21:50 PDT 2012","Thu Jun 14 01:26:39 PDT 2012",true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false,false,true,true,false,false,true,true,false,false,
27PQ67051QKCROCZ4F314MGI71IZFE,"Determine if a statement is true or false. BONUS for correct answers!"," ",2P30HFL42J1L22J8IRYM7IGFTT81MZ,A2QWZR4KRNV0I6,Approved,"Thu Jun 14 05:04:31 PDT 2012","Thu Jun 14 05:05:56 PDT 2012",true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,
27PQ67051QKCROCZ4F314MGI71IZFE,"Determine if a statement is true or false. BONUS for correct answers!"," ",2M8W40SPW1INQERV1TA3UAB6KRL1EE,A49HPQ9P5AHU4,Approved,"Thu Jun 14 06:43:18 PDT 2012","Thu Jun 14 06:44:50 PDT 2012",false,false,true,false,true,true,true,false,true,false,true,true,false,false,true,false,false,true,false,true,true,false,false,false,true,true,false,false,
27PQ67051QKCROCZ4F314MGI71IZFE,"Determine if a statement is true or false. BONUS for correct answers!"," ",2REVHVKCJ011OZI1UW0KXW61H0568M,A3E219GBNASHIQ,Approved,"Thu Jun 14 07:55:21 PDT 2012","Thu Jun 14 07:59:35 PDT 2012",false,true,true,false,true,true,true,true,true,false,true,true,false,false,true,true,true,true,false,false,true,false,false,false,true,false,false,true,
27PQ67051QKCROCZ4F314MGI71IZFE,"Determine if a statement is true or false. BONUS for correct answers!"," ",254PWZ9RNDWISSCPIHE3KTGUAGZSD0,ALFC8FZ7RAD4F,Approved,"Thu Jun 14 08:27:33 PDT 2012","Thu Jun 14 08:28:53 PDT 2012",false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,false,false,true,true,true,true,
27PQ67051QKCROCZ4F314MGI71IZFE,"Determine if a statement is true or false. BONUS for correct answers!"," ",2BTK274J79KQ03C5YTXU4FCDDI3FHI,A1R4VJ57QKKTVM,Approved,"Thu Jun 14 09:41:22 PDT 2012","Thu Jun 14 09:43:01 PDT 2012",false,true,true,false,true,true,true,false,true,true,true,true,false,true,true,false,false,true,true,true,false,false,false,false,true,false,false,true,
27PQ67051QKCROCZ4F314MGI71IZFE,"Determine if a statement is true or false. BONUS for correct answers!"," ",2DGH1XERSQV6AOWMS7K3OVWA4XB80F,A9TIH4FFMFD9K,Approved,"Thu Jun 14 12:14:14 PDT 2012","Thu Jun 14 12:17:04 PDT 2012",false,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,
27PQ67051QKCROCZ4F314MGI71IZFE,"Determine if a statement is true or false. BONUS for correct answers!"," ",2PSOHOVR14IXOLDIKR8EJWA66HI67K,A3IUEMZG39ZS3H,Approved,"Thu Jun 14 21:40:35 PDT 2012","Thu Jun 14 21:42:21 PDT 2012",true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,
27PQ67051QKCROCZ4F314MGI71IZFE,"Determine if a statement is true or false. BONUS for correct answers!"," ",2HSG5R98D8J3ZBIT3HKN5CG3VROUEI,A2NDP2SNIA9L5F,Approved,"Fri Jun 15 09:08:59 PDT 2012","Fri Jun 15 09:11:17 PDT 2012",false,true,true,true,true,true,true,false,true,true,true,false,false,true,true,false,true,true,false,true,true,true,false,false,true,false,true,true,
27PQ67051QKCROCZ4F314MGI71IZFE,"Determine if a statement is true or false. BONUS for correct answers!"," ",2M8J2D21O3W51EBG0EJI9KYEY0XE8N,ANWMZWBVYKV7Y,Approved,"Fri Jun 15 09:28:49 PDT 2012","Fri Jun 15 09:36:47 PDT 2012",true,false,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,false,true,false,true,false,true,false,false,false,true,
